"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2023","1,538.34","1,666.90","1,694.28","1,499.49","3.50M","-7.71%"
"01/29/2023","1,666.90","1,572.13","1,710.27","1,540.25","3.76M","5.96%"
"01/22/2023","1,573.07","1,626.66","1,662.13","1,523.71","3.61M","-3.23%"
"01/15/2023","1,625.53","1,550.05","1,678.27","1,505.37","3.68M","4.87%"
"01/08/2023","1,550.02","1,263.91","1,576.83","1,259.15","4.19M","22.64%"
"01/01/2023","1,263.90","1,195.69","1,274.85","1,191.67","2.15M","5.71%"
"12/25/2022","1,195.67","1,220.46","1,233.15","1,184.22","1.97M","-2.03%"
"12/18/2022","1,220.46","1,187.19","1,229.47","1,152.54","2.36M","2.80%"
"12/11/2022","1,187.18","1,266.36","1,348.43","1,156.91","4.05M","-6.27%"
"12/04/2022","1,266.62","1,240.46","1,303.92","1,221.10","2.82M","2.11%"
"11/27/2022","1,240.46","1,205.17","1,304.97","1,151.98","3.49M","2.93%"
"11/20/2022","1,205.15","1,217.65","1,229.20","1,077.85","4.49M","-1.03%"
"11/13/2022","1,217.65","1,256.29","1,289.21","1,175.42","3.72M","-3.08%"
"11/06/2022","1,256.29","1,626.86","1,637.44","1,076.29","11.99M","-22.79%"
"10/30/2022","1,627.07","1,619.67","1,666.17","1,503.29","6.02M","0.46%"
"10/23/2022","1,619.69","1,313.64","1,660.13","1,301.80","6.73M","23.30%"
"10/16/2022","1,313.64","1,274.93","1,341.21","1,257.83","3.38M","3.07%"
"10/09/2022","1,274.57","1,315.08","1,342.01","1,196.63","4.06M","-3.08%"
"10/02/2022","1,315.05","1,311.80","1,383.02","1,266.86","3.97M","0.25%"
"09/25/2022","1,311.80","1,317.01","1,399.67","1,261.29","6.27M","-0.40%"
"09/18/2022","1,317.00","1,468.76","1,469.21","1,222.29","7.60M","-10.33%"
"09/11/2022","1,468.79","1,774.38","1,786.73","1,409.65","6.64M","-17.22%"
"09/04/2022","1,774.38","1,557.35","1,788.10","1,493.19","5.79M","13.92%"
"08/28/2022","1,557.55","1,490.88","1,647.50","1,424.33","6.68M","4.48%"
"08/21/2022","1,490.83","1,575.61","1,720.84","1,449.31","7.14M","-5.38%"
"08/14/2022","1,575.60","1,983.52","2,028.40","1,525.51","7.40M","-20.57%"
"08/07/2022","1,983.50","1,690.29","2,018.97","1,657.78","6.96M","17.35%"
"07/31/2022","1,690.27","1,695.99","1,752.94","1,560.17","7.25M","-0.34%"
"07/24/2022","1,695.97","1,549.61","1,781.39","1,357.70","10.80M","9.45%"
"07/17/2022","1,549.61","1,356.00","1,644.99","1,323.23","12.01M","14.27%"
"07/10/2022","1,356.08","1,216.94","1,399.16","1,012.29","11.73M","11.43%"
"07/03/2022","1,216.94","1,066.60","1,275.69","1,041.82","9.17M","14.10%"
"06/26/2022","1,066.60","1,241.80","1,276.81","1,000.77","10.28M","-14.11%"
"06/19/2022","1,241.76","995.49","1,255.55","938.24","12.50M","24.72%"
"06/12/2022","995.61","1,531.50","1,542.01","883.35","17.72M","-34.99%"
"06/05/2022","1,531.42","1,804.60","1,919.40","1,503.15","6.92M","-15.13%"
"05/29/2022","1,804.37","1,792.25","2,015.02","1,740.83","6.55M","0.65%"
"05/22/2022","1,792.68","1,975.12","2,086.21","1,708.62","6.88M","-9.24%"
"05/15/2022","1,975.12","2,056.33","2,161.78","1,903.67","5.27M","-3.95%"
"05/08/2022","2,056.30","2,636.03","2,641.84","1,796.24","12.96M","-21.99%"
"05/01/2022","2,636.03","2,727.20","2,963.54","2,589.29","4.88M","-3.34%"
"04/24/2022","2,727.18","2,931.90","3,032.70","2,716.31","4.36M","-6.98%"
"04/17/2022","2,931.90","3,058.96","3,176.69","2,887.25","3.67M","-4.15%"
"04/10/2022","3,058.96","3,259.59","3,306.14","2,951.80","3.72M","-6.15%"
"04/03/2022","3,259.35","3,442.34","3,579.82","3,143.96","4.36M","-5.32%"
"03/27/2022","3,442.34","3,145.95","3,529.63","3,126.46","3.92M","9.42%"
"03/20/2022","3,146.01","2,950.03","3,192.73","2,819.27","4.08M","6.65%"
"03/13/2022","2,949.92","2,569.80","2,984.00","2,494.59","8.97B","14.79%"
"03/06/2022","2,569.80","2,665.42","2,772.09","2,447.74","9.41B","-3.59%"
"02/27/2022","2,665.42","2,779.55","3,041.84","2,562.94","2.81B","-4.02%"
"02/20/2022","2,776.96","2,763.97","2,856.01","2,303.07","6.53M","0.48%"
"02/13/2022","2,763.81","2,917.16","3,193.18","2,699.70","3.63M","-5.25%"
"02/06/2022","2,917.10","3,013.75","3,277.36","2,858.85","3.93M","-3.21%"
"01/30/2022","3,013.81","2,600.12","3,058.88","2,478.85","4.51M","15.91%"
"01/23/2022","2,600.02","2,412.52","2,719.32","2,161.55","6.08M","7.77%"
"01/16/2022","2,412.52","3,326.50","3,388.22","2,311.80","4.86M","-27.50%"
"01/09/2022","3,327.74","3,079.89","3,407.98","2,931.68","3.54M","8.04%"
"01/02/2022","3,080.02","3,765.67","3,889.07","3,001.76","4.24M","-18.21%"
"12/26/2021","3,765.67","4,093.38","4,125.22","3,589.64","2.74M","-8.00%"
"12/19/2021","4,093.14","3,959.90","4,149.17","3,757.42","3.17M","3.37%"
"12/12/2021","3,959.83","4,078.17","4,173.21","3,649.69","4.52M","-2.84%"
"12/05/2021","4,075.66","4,118.27","4,482.89","3,836.92","5.12M","-1.16%"
"11/28/2021","4,123.46","4,095.16","4,778.14","3,533.02","5.20M","0.70%"
"11/21/2021","4,094.80","4,409.02","4,549.74","3,917.43","5.03M","-7.12%"
"11/14/2021","4,408.85","4,644.40","4,769.38","3,958.44","4.53M","-5.08%"
"11/07/2021","4,644.61","4,517.27","4,864.06","4,498.78","3.86M","2.82%"
"10/31/2021","4,517.36","4,322.00","4,661.88","4,157.51","3.71M","4.55%"
"10/24/2021","4,320.65","4,168.80","4,458.30","3,896.33","4.93M","3.64%"
"10/17/2021","4,168.85","3,827.55","4,366.91","3,664.63","4.80M","8.92%"
"10/10/2021","3,827.55","3,574.52","3,967.43","3,381.43","4.74M","7.09%"
"10/03/2021","3,574.20","3,388.83","3,668.35","3,273.22","5.38M","5.47%"
"09/26/2021","3,388.97","2,922.47","3,467.95","2,740.12","7.07M","15.96%"
"09/19/2021","2,922.55","3,435.92","3,455.67","2,659.71","9.60M","-14.94%"
"09/12/2021","3,435.97","3,267.33","3,672.68","3,118.66","5.35M","5.16%"
"09/05/2021","3,267.33","3,885.40","3,981.22","3,061.30","8.18M","-15.90%"
"08/29/2021","3,884.97","3,243.96","4,024.89","3,145.53","7.84M","19.76%"
"08/22/2021","3,243.90","3,224.17","3,375.42","3,057.48","5.48M","0.62%"
"08/15/2021","3,223.96","3,264.56","3,334.22","2,951.04","5.70M","-1.25%"
"08/08/2021","3,264.69","3,158.30","3,328.38","2,899.24","7.31M","3.38%"
"08/01/2021","3,158.00","2,530.94","3,169.74","2,445.49","7.30M","24.71%"
"07/25/2021","2,532.19","2,166.98","2,551.68","2,108.74","7.54M","17.67%"
"07/18/2021","2,151.85","1,898.01","2,162.29","1,720.70","7.25M","13.38%"
"07/11/2021","1,897.98","2,110.90","2,173.34","1,851.97","4.92M","-10.10%"
"07/04/2021","2,111.12","2,224.70","2,402.68","2,066.09","9.93M","-5.11%"
"06/27/2021","2,224.70","1,830.42","2,281.55","1,808.59","11.33M","21.53%"
"06/20/2021","1,830.62","2,166.30","2,276.83","1,707.24","13.62M","-15.52%"
"06/13/2021","2,166.91","2,368.68","2,637.90","2,142.74","9.96M","-8.51%"
"06/06/2021","2,368.47","2,628.43","2,842.88","2,260.80","9.63M","-9.91%"
